stu_tch,sc_spirt,tch_good,tch_intr,tch_prai,stu_dwn,not_safe,disr_lrn,gangs,rac_fght,sch_rule,pun_same,strict,pun_rule,female,stu_race,eng_natv
3,3,3,3,2,2,3,2,3,2,3,1,3,2,1,7,1
1,1,1,1,1,2,2,2,2,4,3,1,1,4,2,3,1
3,3,3,3,1,4,4,1,2,4,4,1,4,4,1,3,0
2,2,3,2,2,3,3,3,3,3,3,2,4,2,1,7,1
3,3,3,3,2,3,2,1,4,3,3,3,3,3,2,7,1
3,3,3,3,3,4,4,3,2,3,3,2,3,3,1,7,1
3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,5,1
3,2,3,3,4,3,3,2,2,3,3,3,3,2,1,3,1
3,3,3,3,4,3,4,3,3,4,3,4,2,3,2,3,1
3,3,2,3,2,3,4,1,4,2,2,1,3,2,2,7,1
3,4,4,4,4,3,4,4,4,4,4,4,4,2,1,3,1
2,2,2,2,3,1,3,2,3,2,2,2,3,3,1,6,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,2,3,4,4,1,3,3,3,2,3,3,2,3,1
3,4,3,3,4,3,4,2,2,3,2,2,2,3,1,7,1
3,4,3,3,3,3,4,2,3,3,3,3,3,3,2,2,0
3,3,3,3,2,3,4,3,4,4,3,3,3,3,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,3,1
2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,7,1
3,4,3,2,3,4,3,2,2,3,2,2,3,3,2,7,1
2,3,2,2,2,1,3,1,2,3,3,1,2,3,2,7,1
2,4,3,3,2,2,4,3,4,3,3,3,3,2,2,7,1
3,4,3,3,2,2,3,2,2,1,3,NA,3,2,1,7,1
3,2,1,3,2,1,4,1,4,3,3,2,3,3,2,7,1
1,4,4,4,4,4,1,1,1,1,4,4,4,4,1,3,0
3,3,1,3,2,3,3,2,2,3,3,3,3,3,1,3,1
NA,3,3,3,3,NA,4,NA,3,3,3,3,3,2,2,5,1
3,3,3,3,2,4,3,2,3,3,3,3,2,3,2,7,1
3,3,3,3,2,4,4,3,4,4,2,1,3,3,1,7,1
3,4,4,4,3,3,3,2,3,3,3,4,3,3,1,7,1
3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,7,1
3,2,2,2,2,4,4,1,2,1,2,1,4,3,2,3,1
3,3,3,3,3,4,3,1,4,4,3,3,2,2,1,7,1
2,3,3,3,2,3,3,3,4,3,3,2,2,3,2,7,1
3,3,3,3,3,4,4,3,3,3,3,3,3,3,1,7,1
2,4,3,3,2,NA,NA,NA,NA,NA,4,3,2,2,2,7,1
1,2,2,2,2,4,2,3,4,2,2,2,2,3,1,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1
3,4,3,4,3,3,2,3,4,3,4,1,2,3,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1
3,2,2,2,2,2,3,3,3,3,2,3,3,2,2,7,1
3,1,3,3,2,3,3,3,3,3,3,2,3,2,2,5,1
4,3,4,4,3,3,4,3,3,4,3,3,3,2,1,7,1
3,4,3,3,3,3,4,3,3,4,3,3,3,3,2,1,1
3,3,2,2,2,3,3,3,3,3,3,3,2,1,2,5,1
3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,0
3,4,3,3,3,3,4,1,3,3,3,2,3,2,1,7,1
3,3,3,3,2,4,4,1,3,3,3,3,3,3,2,7,1
3,3,1,2,3,4,4,4,1,3,3,2,3,4,1,4,0
2,3,3,3,3,2,3,1,2,2,3,3,3,3,2,4,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1
3,3,3,3,3,2,2,2,2,2,4,2,3,3,1,5,1
3,3,2,3,2,3,4,3,4,4,4,4,3,4,2,5,0
3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,7,1
3,2,2,3,2,3,3,3,4,2,4,3,3,4,2,7,1
3,3,3,3,3,3,4,3,3,4,2,4,3,3,2,2,0
3,2,3,2,2,3,4,3,4,3,3,1,2,2,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1
3,3,3,3,2,3,4,3,3,3,3,2,2,3,2,7,1
3,2,3,3,4,3,3,3,3,3,3,2,2,3,2,7,1
3,2,4,4,3,3,3,4,3,2,3,3,4,4,1,1,0
3,3,3,3,2,2,4,2,2,3,2,1,1,1,1,7,1
3,3,4,3,3,3,3,2,3,3,3,3,2,3,1,7,1
3,3,4,4,4,2,4,2,4,4,3,2,3,2,1,7,1
3,3,3,3,3,3,3,1,3,3,3,2,2,3,2,7,1
2,3,2,1,2,4,3,3,3,3,3,3,3,3,2,4,0
3,2,3,3,3,2,4,4,4,4,2,2,2,2,1,5,1
3,3,2,2,2,4,3,2,3,4,3,3,2,2,1,7,1
3,3,3,3,3,3,3,2,4,4,3,2,3,3,2,2,0
3,3,2,2,2,3,4,2,3,4,3,2,2,2,2,7,1
3,3,3,3,3,3,3,2,2,2,3,3,2,3,2,5,0
3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,6,1
3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,2,0
3,3,3,3,2,3,4,3,4,3,3,1,3,3,2,7,1
3,2,3,3,3,4,4,3,4,4,3,3,3,2,2,6,1
3,4,3,3,3,3,4,3,4,3,3,2,2,2,1,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,3,3,4,2,3,2,3,3,3,3,3,3,1,5,0
3,4,3,3,3,4,3,3,2,4,4,4,4,3,1,7,1
3,4,3,3,4,4,4,2,3,4,3,4,3,3,2,2,1
2,3,3,3,4,4,3,3,3,4,3,3,3,3,2,3,1
3,2,3,4,3,3,3,2,3,4,3,3,3,3,2,6,1
2,3,3,3,3,3,2,1,3,2,NA,3,3,NA,2,2,0
2,1,3,3,4,3,2,4,2,4,2,2,1,2,1,6,1
2,2,2,3,1,3,3,3,2,3,2,2,2,2,1,7,1
3,4,4,4,3,4,4,2,3,3,3,3,3,3,1,2,0
4,4,4,4,4,4,4,3,4,4,3,4,4,3,1,6,1
3,2,2,3,3,4,4,3,4,4,3,2,3,3,1,7,1
4,4,4,4,4,1,1,1,1,1,4,4,4,4,1,5,1
3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1
3,4,3,3,3,3,3,1,3,3,3,4,3,2,2,7,1
3,3,3,3,2,3,3,2,3,3,3,3,2,2,2,6,1
3,3,3,3,3,3,3,3,4,4,3,3,2,3,2,7,1
3,2,3,3,2,2,4,3,4,3,2,4,2,2,2,7,1
2,3,3,3,3,3,3,2,3,2,3,4,3,3,2,4,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,4,3,3,3,2,2,2,3,3,3,4,2,5,0
3,3,4,3,3,4,4,4,1,4,2,NA,2,1,2,2,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3,3,3,4,3,3,2,3,2,3,3,3,1,5,1
3,2,2,2,1,3,3,2,2,3,1,4,1,2,1,4,0
3,3,4,2,2,3,2,3,2,1,4,4,2,3,2,4,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,4,4,3,2,3,3,3,2,2,2,5,1
3,3,4,4,3,3,4,4,4,4,4,4,4,4,1,2,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
3,2,3,2,2,3,3,3,1,1,2,2,2,3,1,3,1
3,3,3,3,3,3,3,2,2,3,3,3,3,1,2,3,1
2,2,3,2,2,3,3,3,4,2,2,1,3,2,2,4,0
3,2,3,3,2,3,4,3,2,3,3,3,2,3,2,2,0
2,2,3,3,4,3,3,3,2,2,4,4,4,4,2,4,0
3,3,4,4,4,NA,2,2,2,2,3,NA,NA,3,2,2,0
3,1,2,2,3,4,3,4,1,1,2,1,2,1,1,4,0
2,2,2,3,2,3,3,1,1,3,3,1,2,2,2,2,0
3,3,3,NA,3,3,3,3,3,3,3,4,3,2,2,5,0
3,2,2,2,2,2,3,2,2,2,3,3,4,2,1,6,1
4,3,3,3,3,3,3,2,3,2,3,4,2,4,1,2,0
2,3,3,3,3,3,3,2,2,3,3,3,3,3,1,2,0
3,2,2,2,2,3,4,2,4,4,3,3,2,3,2,2,0
3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,6,1
3,3,3,2,3,4,4,3,3,3,3,3,2,3,2,5,1
3,4,4,3,4,4,4,3,3,4,3,4,4,4,1,1,1
3,2,3,3,2,3,3,3,4,3,3,3,3,2,1,2,0
2,3,2,2,2,2,2,2,3,3,3,3,2,3,2,2,0
4,3,3,3,3,4,4,3,3,3,4,3,3,3,2,2,0
3,4,3,2,3,3,3,3,3,2,2,3,2,3,2,7,1
3,3,4,3,4,3,4,3,3,3,3,4,3,3,2,3,1
2,3,4,4,3,3,4,2,3,3,3,3,3,3,1,7,1
3,3,3,3,3,4,4,4,3,3,3,3,3,3,1,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1
2,3,3,2,2,2,4,3,4,1,3,1,2,3,2,5,1
3,2,3,1,2,2,3,2,2,2,3,3,3,2,1,5,1
3,1,3,2,2,4,3,2,2,3,2,3,3,3,2,5,1
3,3,3,3,3,4,4,2,3,4,3,4,2,3,1,2,0
3,3,3,4,3,3,3,3,3,3,3,3,2,3,2,2,0
3,4,4,3,3,3,2,2,2,3,4,4,4,4,2,5,0
3,2,2,2,2,3,3,3,NA,3,3,3,3,2,1,2,1
3,NA,3,3,3,NA,NA,4,NA,3,NA,3,3,3,2,5,0
3,3,3,3,3,2,3,2,2,1,2,3,2,3,2,3,1
3,3,3,4,NA,3,3,2,3,3,3,3,3,3,2,4,1
1,1,2,2,2,4,4,1,4,2,3,3,3,4,2,6,1
3,2,3,3,3,3,3,3,3,3,2,2,2,2,1,7,1
3,2,3,3,4,3,3,2,2,2,3,4,3,4,1,2,0
3,3,3,3,3,3,4,3,4,3,4,3,3,3,2,5,1
3,3,3,3,2,3,2,2,3,3,3,2,3,3,2,3,1
3,2,3,3,2,4,4,4,4,2,4,3,2,3,2,7,1
3,3,2,2,2,2,2,2,3,3,2,2,3,2,1,3,1
2,3,3,3,3,3,3,2,2,2,2,4,2,2,1,4,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,4,3,3,3,3,2,3,1,3,3,3,2,2,2,1
3,3,3,3,3,3,3,2,2,2,3,2,3,2,1,5,1
2,1,1,1,1,2,1,1,1,1,4,2,1,2,1,5,1
3,3,3,3,4,4,4,4,4,4,2,3,3,2,1,2,0
3,2,3,3,3,3,3,3,2,2,3,3,3,3,2,2,1
4,3,4,3,4,3,3,3,3,3,3,2,2,2,2,2,0
4,3,3,2,3,3,3,2,3,3,2,2,3,2,2,2,0
1,1,3,NA,2,3,3,3,2,2,3,2,NA,3,2,2,0
3,3,3,4,3,3,2,3,1,3,3,3,4,3,1,6,1
3,3,3,3,3,3,4,3,3,4,4,4,3,3,1,2,1
3,3,3,3,4,2,3,1,2,2,2,3,3,3,2,6,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,3,3,2,3,3,3,3,2,3,1,6,1
4,3,3,3,3,3,4,2,2,4,4,4,3,3,2,4,0
2,2,3,3,4,1,4,2,4,4,2,4,2,4,1,7,1
3,3,3,2,2,3,4,1,2,2,4,2,3,4,1,5,0
3,2,3,2,3,3,3,2,2,3,3,2,3,3,1,2,0
3,2,3,3,2,4,4,2,4,3,3,2,2,3,1,7,1
3,3,3,2,3,3,3,2,3,2,3,3,3,3,2,7,1
2,3,3,2,2,4,4,3,2,2,3,3,2,3,2,5,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0
2,3,2,3,2,4,4,4,4,3,3,3,3,3,2,7,1
3,3,3,3,2,3,4,2,3,4,2,1,2,2,1,6,1
3,2,2,2,1,4,3,1,3,2,3,3,3,3,2,7,1
2,2,3,3,2,3,3,2,3,3,3,3,3,3,1,3,1
3,3,3,3,3,3,3,2,3,4,3,3,3,3,2,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,NA,4,4,4,3,2,4,1,3,4,3,3,1,3,1
3,3,3,3,4,3,4,2,4,3,3,3,3,3,1,4,0
3,4,3,4,4,4,4,4,4,4,3,4,3,3,2,7,1
1,3,1,2,1,4,3,2,1,1,2,3,3,3,2,7,1
3,3,3,3,3,4,4,3,3,2,3,2,3,2,1,3,1
3,2,NA,2,3,3,3,1,NA,3,3,2,1,2,2,7,1
4,4,4,4,4,3,3,2,3,4,4,3,3,2,2,2,0
2,2,3,3,2,3,2,3,3,3,3,3,3,3,1,7,1
3,2,3,3,2,3,3,3,3,3,NA,NA,NA,NA,1,7,1
3,3,2,2,3,3,3,3,4,2,3,1,3,3,1,7,1
3,4,4,3,3,3,4,3,4,2,4,3,4,4,2,7,1
2,4,3,3,3,2,2,3,3,1,3,4,3,4,2,3,0
3,3,3,4,3,3,3,3,2,1,3,3,2,3,1,7,1
3,4,4,4,4,4,3,4,3,3,4,4,3,3,1,5,1
3,3,2,2,3,3,3,3,3,3,3,2,3,2,1,7,1
3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,5,0
2,3,3,3,3,4,2,3,3,3,3,3,3,3,2,5,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,4,3,3,2,3,3,4,3,3,4,1,7,1
3,3,3,3,3,3,4,4,3,3,3,4,3,3,1,7,1
3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,5,1
3,2,3,3,3,2,3,2,3,2,3,2,3,3,1,7,1
3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,0
3,4,2,3,1,2,2,1,2,3,2,1,NA,2,2,3,1
3,2,3,3,1,4,3,2,2,2,1,1,3,2,1,5,0
4,1,3,3,2,3,4,3,4,4,3,1,3,3,2,3,1
1,1,1,1,1,4,2,1,1,1,2,1,1,1,1,4,1
3,3,2,2,2,3,3,2,1,3,2,3,2,3,1,3,1
2,1,NA,NA,NA,NA,NA,3,3,NA,4,NA,2,2,2,5,0
2,3,3,3,3,3,3,2,1,2,3,3,3,3,1,3,1
3,3,3,3,4,4,3,3,3,4,3,1,3,1,1,4,1
2,3,3,2,2,3,3,2,2,3,2,3,2,3,1,2,0
3,2,3,3,3,3,3,2,2,2,3,4,4,2,1,2,0
3,3,3,3,3,2,3,1,1,3,4,3,3,3,2,4,0
1,1,1,1,1,4,1,3,1,3,1,1,1,1,1,7,1
3,4,4,4,4,4,4,2,4,4,2,2,2,2,2,7,1
3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,7,1
3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,7,1
3,3,3,3,3,3,4,3,2,3,3,3,3,3,1,7,1
4,3,3,3,2,3,4,1,4,3,4,3,4,2,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
3,3,3,3,3,4,3,3,3,3,3,2,3,3,2,5,1
1,2,2,1,1,4,3,3,2,2,3,1,3,3,2,7,1
2,2,2,2,3,3,3,4,4,3,2,3,3,2,2,2,1
3,4,3,4,4,4,4,4,4,3,4,3,2,2,1,7,1
3,3,3,2,3,3,4,3,3,3,2,3,2,2,2,7,1
3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,7,1
2,1,2,1,1,3,4,3,4,4,3,4,3,4,1,7,1
1,2,2,2,3,1,3,3,4,3,3,1,3,3,2,7,1
2,3,3,2,2,2,3,3,4,4,3,2,2,3,2,7,1
3,1,3,3,2,2,3,2,1,3,4,3,3,4,1,2,0
3,3,3,4,4,3,3,1,2,2,3,3,4,3,1,6,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,4,4,4,4,3,2,3,3,3,2,3,1,3,1
3,2,3,3,1,3,3,3,1,3,2,2,2,2,1,2,0
2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,4,3,4,4,4,4,NA,1,3,4,2,3,2,2,0
2,2,4,3,4,4,3,2,3,3,3,3,3,3,1,4,0
3,3,3,3,3,4,3,4,4,4,3,2,3,3,1,5,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,2,2,2,3,1,1,2,1,1,1,2,2,5,0
2,2,2,3,2,3,3,2,3,4,3,3,2,3,2,5,1
3,3,3,2,2,4,3,2,3,4,3,3,3,3,1,2,1
3,3,3,3,2,4,4,3,4,3,3,3,3,3,1,3,1
2,3,3,3,3,3,4,2,1,3,2,3,3,2,1,3,1
3,3,4,2,3,3,3,1,3,3,3,3,3,2,2,3,0
4,2,4,4,4,NA,1,1,3,1,4,4,4,4,1,3,1
3,3,3,2,3,3,3,2,1,3,3,3,2,3,1,3,1
2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,7,1
3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0
3,2,3,2,2,2,4,3,3,3,4,2,3,3,2,7,1
3,3,2,3,3,4,3,3,2,2,3,3,3,3,1,2,1
2,3,3,2,2,3,3,2,3,3,3,3,3,3,1,2,0
3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,7,1
4,3,4,3,3,3,3,2,3,4,3,3,3,3,1,7,1
3,4,3,3,3,3,3,3,3,3,3,4,4,2,2,7,1
3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,7,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,2,NA,2,2,2,3,2,3,3,1,7,1
3,3,3,2,1,2,1,1,2,3,1,1,1,1,2,7,1
3,3,2,3,3,4,4,2,4,3,2,1,2,3,1,5,1
2,3,2,1,NA,3,3,3,2,3,4,1,3,3,2,6,1
